Module1,Module2,Module3,Module4,Module5,Module6,Module7,Module8,Module9,Module10,Module11,Module12,Module13,Module14,Module15,Module16
NEIL3,TKT,IGFBP2,AP3S1,EIF3H,ID3,MYL12A,PPP1R14A,ALOX5AP,MT-ND2,IFI16,SAT1,CD58,IRF1,BCLAF1,TMED10
BUB1,XBP1,MPO,TMED2,POLR1D,SPCS2,ARPC3,AL139020.1,HLA-DPA1,MT-ATP8,ANXA5,HLA-A,LARS,EIF5,RSRC2,ITGA4
KPNA2,RTN4,NPW,ACADM,C9orf16,THRAP3,FAM96A,UNC119,HLA-DPB1,MT-ND3,LAP3,B2M,PHF14,SLC38A1,ZNF207,MED13L
KIF22,ATP1B3,MGST1,ZNF22,UFC1,TMBIM6,ATP6V1G1,PIM2,FCMR,MT-ATP6,HERC5,HLA-B,PNN,HLA-DRB5,RBM25,MAPRE2
KIFC1,EMC4,TNFSF13B,ESD,WDR83OS,PPIG,KRT10,HERPUD1,TXNIP,MT-ND4L,IFI27,HLA-F,MSI2,VAMP2,SRSF11,TNFAIP3
KIF15,ATXN10,SPARC,PCBP2,SSR2,CAP1,TMSB10,RHOH,SEC62,MT-ND6,IFI44,DAZAP2,LUC7L3,BRD2,HNRNPH1,MYCBP2
CENPF,MYB,OSM,GMFG,EIF3E,CRIP1,OAZ1,ZFP36,GPSM3,MT-CO1,EIF2AK2,SHISA5,SPTLC2,CXCR4,SREK1,ERAP2
TROAP,MAGED1,PRSS21,MMADHC,EIF3G,TUBA4A,NDUFA3,EIF4A2,PTPRCAP,MT-CO2,STAT1,PHF11,ZC3H15,RBM38,PRPF8,CHD1
NUSAP1,MPP1,NPDC1,SDHC,ZFAS1,ANXA11,ATP5F1E,HLA-E,CD52,MT-CO3,PARP9,PAPOLA,REXO2,NR4A1,FUS,MACF1
TPX2,ITM2C,ATP8B4,TXNL1,ALKBH7,SEPTIN7,UQCR11,CD37,POLD4,MT-ND5,DDX60,TMEM107,MTHFD2L,PTP4A1,XPO1,NEAT1
NUF2,DDAH2,ANXA1,SEC61B,CCDC85B,MCUB,SH3BGRL3,IGHV3-23,MS4A1,MT-ND1,MX1,AC007952.4,SPINT2,EMD,SRRM2,MAX
TOP2A,NBDY,ITM2A,ATP5F1C,NDUFB9,PPP1CC,APH1A,IGHV3-30,RALGPS2,MT-ND4,IFI44L,Z93241.1,OCIAD1,CCL4L2,PHIP,ITM2B
SGO1,GLUL,HOPX,MYL6B,MDH2,FAM49B,TMSB4X,LYN,CTSS,MT-CYB,EPSTI1,PARP14,KDM5B,RGS1,SRSF4,SRSF5
CDCA3,SOX4,SRGN,UQCRFS1,TSPO,BAZ1A,PSMB10,FCRLA,BIRC3,TUBA1A,XAF1,AC245014.3,SNHG7,NR4A3,PCM1,BCL11A
KIF23,PABPN1,HSPB1,THOC7,MRPS21,CALM1,EEF1D,ORAI2,SWAP70,GRN,IFITM1,WDR74,CSDE1,PER1,SNRNP70,PDE4B
CDCA8,NREP,CST3,EID1,ATP5IF1,CDCA7L,ANAPC16,MTSS1,HLA-DRB1,HSH2D,EIF1AY,CDC42SE2,LGALS9,BTG2,UBXN4,RASGRP2
AURKB,UBE2E1,S100A4,STMP1,PNKD,FAM96B,UBA52,PLEKHG1,HLA-DQA1,ATP6AP2,ISG15,SAMD9L,ATF7IP2,TMEM243,SMARCA5,MEF2C
DLGAP5,MORF4L1,LGALS1,ARF5,PRDX5,RBM3,TOMM7,STX7,BANK1,M6PR,IFIT3,SAMD9,6-Sep,CD79B,GARS,LTB
CDK1,TMEM50A,HCST,FKBP1A,RNF181,COX16,FAU,PLEKHA2,ARHGAP24,STAT3,IFI35,CD69,TERF2IP,POU2AF1,RELL1,NRIP1
SPC25,TMCO1,IRF2BP2,AP2M1,ATP5F1D,RBM8A,PRR13,RELB,GRB2,CCPG1,USP18,NFKBIB,GADD45B,LAPTM5,CSNK1A1,PRKACB
CKAP2L,TECR,CD164,ZNHIT1,HIGD2A,RAB11A,FTL,UVRAG,CD22,ZBTB20,OAS2,SBDS,MED30,GNG7,SLTM,AC116366.3
ANP32E,H2AFY,LAPTM4A,COX7A2L,ATP6V1F,SCAND1,PFDN5,FCRL1,TAGAP,APLP2,BISPR,CHMP1B,RGS2,MAP1LC3B,TRA2B,GBP4
CKAP2,RTN3,MIR4435-2HG,SEC61G,C12orf57,ARF1,COMMD6,AC007384.1,KLF2,TAF1D,MX2,PSAP,ATP6V0B,CD9,HNRNPL,SOCS2
HIST1H3C,BSG,CLU,PARK7,MEAF6,SAP18,NSA2,CYB561A3,LBH,MAP3K8,IRF7,ADAM28,CDC42,CD24,SF3B2,KLHDC2
