Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10,Cluster11,Cluster12
lumenal side of membrane,endoplasmic reticulum chaperone complex,small GTPase binding,podosome,nucleoside kinase activity,tertiary granule,sperm head,response to reactive oxygen species,precatalytic spliceosome,mitochondrial respiratory chain complex assembly,ruffle membrane,protein localization to chromosome
lumenal side of endoplasmic reticulum membrane,smooth endoplasmic reticulum,thyroid hormone receptor binding,regulation of protein-containing complex assembly,Arp2/3 protein complex,tertiary granule lumen,translation elongation factor activity,cellular response to chemical stress,U4 snRNP,respiratory chain complex I,focal adhesion,supercoiled DNA binding
integral component of lumenal side of endoplasmic reticulum membrane,chaperone binding,DEAD-box helicases,regulation of cellular component size,Actin related protein 2/3 complex |WD repeat domain containing,autolysosome,mitochondrial outer membrane translocase complex,cellular response to oxidative stress,spliceosomal tri-snRNP complex,mitochondrial respiratory chain complex I,cell-substrate junction,ATP-dependent chromatin remodeling
peptide antigen binding,Protein disulfide isomerases,chromo shadow domain binding,protein polymerization,MHC class II protein complex binding,secondary lysosome,Translocase of outer mitochondrial membrane complex,ribosomal small subunit binding,U4/U6 x U5 tri-snRNP complex,NADH dehydrogenase complex,positive regulation of intracellular transport,"DNA binding, bending"
MHC protein complex,endoplasmic reticulum-Golgi intermediate compartment,Zinc fingers C2HC-type|PHD finger proteins|Lysine acetyltransferases,regulation of protein polymerization,MHC protein complex binding,defense response to symbiont,"translation factor activity, RNA binding",regulation of translational initiation,U2-type precatalytic spliceosome,"mitochondrial electron transport, NADH to ubiquinone",positive regulation of intracellular protein transport,regulation of chromosome organization
Histocompatibility complex|C1-set domain containing,endoplasmic reticulum-Golgi intermediate compartment membrane,SH2 domain binding,Regulation of actin dynamics for phagocytic cup formation,actin filament organization,defense response to virus,"translation regulator activity, nucleic acid binding",calcium-dependent protein binding,U4/U6 snRNP,Complex I biogenesis,regulation of intracellular protein transport,sister chromatid segregation
ER to Golgi transport vesicle membrane,poly-pyrimidine tract binding,cell leading edge,RHO GTPases Activate WASPs and WAVEs,regulation of supramolecular fiber organization,Interferon alpha/beta signaling,translation regulator activity,regulation of cysteine-type endopeptidase activity,U1 snRNP,mitochondrial respiratory chain complex I assembly,regulation of intracellular transport,mitotic sister chromatid segregation
COPII-coated ER to Golgi transport vesicle,poly(U) RNA binding,cortical cytoskeleton,positive regulation of protein-containing complex assembly,regulation of actin filament organization,response to type I interferon,rRNA binding,regulation of cysteine-type endopeptidase activity involved in apoptotic process,methyltransferase complex,NADH dehydrogenase complex assembly,ion channel binding,chromosome segregation
transport vesicle membrane,RNA strand annealing activity,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,lamellipodium,actin binding,type I interferon signaling pathway,ribosome,regulation of endopeptidase activity,telomerase RNA binding,"oxidoreductase activity, acting on NAD(P)H",regulation of binding,nuclear chromosome segregation
Antigen processing and presentation,paraspeckles,cytoplasmic stress granule,antigen processing and presentation of peptide antigen via MHC class I,regulation of actin filament-based process,cellular response to type I interferon,ribosomal subunit,regulation of peptidase activity,telomerase holoenzyme complex,NAD(P)H dehydrogenase (quinone) activity,protein-containing complex disassembly,chromosomal region
MHC class II protein complex,signal sequence binding,lymphocyte homeostasis,Antigen processing-Cross presentation,regulation of actin cytoskeleton organization,regulation of viral genome replication,cytosolic small ribosomal subunit,peptide transmembrane transporter activity,methylosome,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",sequence-specific single stranded DNA binding,condensed chromosome
MHC class II receptor activity,response to steroid hormone,cytoplasmic side of membrane,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",actin filament binding,response to virus,small ribosomal subunit,protein transmembrane transporter activity,U12-type spliceosomal complex,NADH dehydrogenase activity,G-rich strand telomeric DNA binding,"condensed chromosome, centromeric region"
MHC class II protein binding,RNA polymerase II transcription regulator complex,glucocorticoid receptor binding,antigen processing and presentation of exogenous peptide antigen via MHC class I,regulation of actin filament polymerization,regulation of viral life cycle,BH3 domain binding,protein transporter activity,mRNA Splicing - Minor Pathway,NADH dehydrogenase (quinone) activity,regulation of translation,"chromosome, centromeric region"
CD4 receptor binding,DNA-binding transcription factor binding,NADH:ubiquinone oxidoreductase core subunits,snoRNA binding,regulation of actin polymerization or depolymerization,regulation of viral process,death domain binding,NF-kappaB binding,commitment complex,NADH dehydrogenase (ubiquinone) activity,positive regulation of establishment of protein localization,kinetochore
regulation of adaptive immune response,RNA polymerase II-specific DNA-binding transcription factor binding,azurophil granule membrane,ATPase-coupled cation transmembrane transporter activity,regulation of actin filament length,regulation of biological process involved in symbiotic interaction,"eukaryotic translation initiation factor 3 complex, eIF3m",macromolecule transmembrane transporter activity,U7 snRNP,proton channel activity,positive regulation of protein transport,mitotic spindle
MHC protein binding,selenocysteine insertion sequence binding,Bcl-2 family protein complex,Myosin light chains|EF-hand domain containing,actin filament polymerization,NA,cytoplasmic translational initiation,translocon complex,SMN complex,F-type ATPases|Mitochondrial complex V: ATP synthase subunits,selenium binding,M Phase
antigen processing and presentation of exogenous peptide antigen via MHC class II,hormone receptor binding,secretory granule membrane,U1 snRNA binding,actin polymerization or depolymerization,NA,eukaryotic translation initiation factor 3 complex,enzyme inhibitor activity,SMN-Sm protein complex,mitochondrial proton-transporting ATP synthase complex,porin activity,spindle
antigen processing and presentation of peptide antigen via MHC class II,nuclear receptor binding,MHC class I peptide loading complex,ATPase binding,F-actin capping protein complex,NA,formation of cytoplasmic translation initiation complex,mitochondrial outer membrane,snRNP binding,proton-transporting ATP synthase complex,ribonucleoprotein complex binding,spindle pole
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,nBAF complex,SMAD binding,synaptic vesicle,Rho family GTPases,NA,eukaryotic 48S preinitiation complex,organelle outer membrane,U1 snRNP binding,cristae formation,Tat protein binding,MHC class I protein binding
clathrin-coated vesicle membrane,nuclear speck,Basic leucine zipper proteins,exocytic vesicle,antigen processing and presentation,NA,Eukaryotic translation initiation factor 3,outer membrane,nitric-oxide synthase regulator activity,F-type ATPases|Mitochondrial complex V: ATP synthase subunits,Signaling by Wnt,nuclear chromosome
clathrin-coated vesicle,"alternative mRNA splicing, via spliceosome",NA,protein serine/threonine kinase activator activity,antigen processing and presentation of peptide antigen,NA,translation initiation factor activity,mitochondrial intermembrane space,nitric-oxide synthase activity,mitochondrial ATP synthesis coupled proton transport,UCH proteinases,cyclin-dependent protein kinase holoenzyme complex
clathrin-coated endocytic vesicle membrane,"regulation of alternative mRNA splicing, via spliceosome",NA,protein kinase activator activity,antigen processing and presentation of exogenous peptide antigen,NA,eukaryotic 43S preinitiation complex,"proton-transporting two-sector ATPase complex, catalytic domain","proteasome core complex, alpha-subunit complex",Formation of ATP by chemiosmotic coupling,Cellular responses to stress,DNA conformation change
clathrin-coated endocytic vesicle,long noncoding RNA binding,NA,kinase activator activity,antigen processing and presentation of exogenous antigen,NA,translation preinitiation complex,"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)",messenger ribonucleoprotein complex,inner mitochondrial membrane organization,protein N-terminus binding,DNA packaging
positive regulation of immune effector process,transcription corepressor activity,NA,GTPase binding,TCR signaling,NA,NA,"proton-transporting ATP synthase complex, catalytic core F(1)",protein folding,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",Programmed Cell Death,chromatin assembly or disassembly
T cell proliferation,histone acetyltransferase binding,NA,membrane raft,Downstream TCR signaling,NA,NA,endocytic vesicle lumen,disulfide oxidoreductase activity,proton transmembrane transporter activity,Apoptosis,chromatin assembly
Histocompatibility complex|C1-set domain containing,NA,NA,membrane microdomain,NA,NA,NA,primary lysosome,"oxidoreductase activity, acting on a sulfur group of donors",proton-transporting two-sector ATPase complex,14-3-3 phospho-serine/phospho-threonine binding proteins,nucleosome organization
regulation of leukocyte proliferation,NA,NA,viral life cycle,NA,NA,NA,azurophil granule,melanosome,"proton-transporting ATP synthase activity, rotational mechanism",ubiquitin-like protein ligase binding,nucleosome assembly
regulation of lymphocyte proliferation,NA,NA,viral genome replication,NA,NA,NA,azurophil granule lumen,pigment granule,"proton-transporting ATP synthase complex, coupling factor F(o)",ubiquitin protein ligase binding,protein heterodimerization activity
regulation of mononuclear cell proliferation,NA,NA,positive regulation of innate immune response,NA,NA,NA,vacuolar lumen,regulation of protein stability,"proton-transporting two-sector ATPase complex, proton-transporting domain",heat shock protein binding,"negative regulation of gene expression, epigenetic"
regulation of T cell proliferation,NA,NA,regulation of innate immune response,NA,NA,NA,Neutrophil degranulation,protein stabilization,mitochondrial respiratory chain complex III,positive regulation of cellular protein localization,chromatin silencing
positive regulation of alpha-beta T cell activation,NA,NA,positive regulation of response to biotic stimulus,NA,NA,NA,neutrophil degranulation,HDAC5 interactions,respiratory chain complex III,CD81 interactions,Senescence-Associated Secretory Phenotype (SASP)
positive regulation of lymphocyte differentiation,NA,NA,positive regulation of defense response,NA,NA,NA,neutrophil activation involved in immune response,METTL14 interactions,oxidoreductase complex,cellular response to oxygen levels,Cellular Senescence
positive regulation of T cell differentiation,NA,NA,ErbB1 downstream signaling,NA,NA,NA,cell redox homeostasis,NDN interactions,respirasome,cellular response to hypoxia,protein-DNA complex
positive regulation of T cell activation,NA,NA,regulation of response to biotic stimulus,NA,NA,NA,reactive oxygen species metabolic process,DUX4 interactions,respiratory chain complex,cellular response to decreased oxygen levels,Histones
positive regulation of leukocyte cell-cell adhesion,NA,NA,"Lupus Erythematosus, Systemic",NA,NA,NA,hydrogen peroxide metabolic process,CUL2 interactions,mitochondrial respirasome,activation of innate immune response,DNA packaging complex
positive regulation of cell-cell adhesion,NA,NA,ruffle,NA,NA,NA,cysteine-type endopeptidase regulator activity involved in apoptotic process,PPT1 interactions,electron transfer activity,HIV Infection,nucleosome
leukocyte cell-cell adhesion,NA,NA,phosphatase binding,NA,NA,NA,glutathione peroxidase activity,VCAM1 interactions,cellular respiration,Infectious disease,"regulation of gene expression, epigenetic"
regulation of T cell activation,NA,NA,protein phosphatase binding,NA,NA,NA,glutathione transferase activity,TFE3 interactions,Respiratory electron transport,RNA catabolic process,"positive regulation of gene expression, epigenetic"
regulation of leukocyte cell-cell adhesion,NA,NA,homeostasis of number of cells,NA,NA,NA,protease binding,PSMA3 interactions,respiratory electron transport chain,regulation of mRNA catabolic process,RHO GTPase Effectors
positive regulation of cell adhesion,NA,NA,cell cortex,NA,NA,NA,antioxidant activity,myelin sheath,mitochondrial ATP synthesis coupled electron transport,mRNA catabolic process,Signaling by Rho GTPases
regulation of cell-cell adhesion,NA,NA,NA,NA,NA,NA,"oxidoreductase activity, acting on peroxide as acceptor",ATXN3 interactions,ATP synthesis coupled electron transport,cadherin binding,midbody
TAP1 binding,NA,NA,NA,NA,NA,NA,peroxidase activity,LRRK2 interactions,Mitochondrial complex IV: cytochrome c oxidase subunits,regulation of mRNA stability,membrane fission
negative regulation of immune system process,NA,NA,NA,NA,NA,NA,zymogen granule,DLST interactions,cytochrome-c oxidase activity,regulation of RNA stability,cytokinesis
positive regulation of hemopoiesis,NA,NA,NA,NA,NA,NA,dolichyl-diphosphooligosaccharide-protein glycotransferase activity,COX15 interactions,"oxidoreductase activity, acting on a heme group of donors",RNA polymerase II general transcription initiation factor binding,cyclin-dependent protein serine/threonine kinase regulator activity
positive regulation of leukocyte differentiation,NA,NA,NA,NA,NA,NA,oligosaccharyltransferase complex,ITFG1 interactions,aerobic electron transport chain,hematopoietic progenitor cell differentiation,cytoskeleton-dependent cytokinesis
leukocyte apoptotic process,NA,NA,NA,NA,NA,NA,Oligosaccharyltransferase complex subunits,DLD interactions,"mitochondrial electron transport, cytochrome c to oxygen",euchromatin,mitotic cytokinesis
regulation of leukocyte apoptotic process,NA,NA,NA,NA,NA,NA,NA,NAD binding,cytochrome complex,regulation of stem cell differentiation,P-body
positive regulation of leukocyte proliferation,NA,NA,NA,NA,NA,NA,NA,DNA polymerase binding,respiratory chain complex IV,regulation of hematopoietic progenitor cell differentiation,negative regulation of organelle organization
positive regulation of lymphocyte proliferation,NA,NA,NA,NA,NA,NA,NA,5'-deoxyribose-5-phosphate lyase activity,ubiquinol-cytochrome-c reductase activity,regulation of hematopoietic stem cell differentiation,kinase regulator activity
positive regulation of mononuclear cell proliferation,NA,NA,NA,NA,NA,NA,NA,DNA biosynthetic process,"mitochondrial electron transport, ubiquinol to cytochrome c",hematopoietic stem cell differentiation,protein kinase regulator activity
Epstein-Barr virus infection,NA,NA,NA,NA,NA,NA,NA,Canonical high mobility group,Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits,endoplasmic reticulum protein-containing complex,ubiquitin binding
Herpes simplex infection,NA,NA,NA,NA,NA,NA,NA,disordered domain specific binding,energy derivation by oxidation of organic compounds,negative regulation of response to endoplasmic reticulum stress,ubiquitin-like protein binding
I-kappaB kinase/NF-kappaB signaling,NA,NA,NA,NA,NA,NA,NA,viral latency,nucleoside phosphate biosynthetic process,regulation of intrinsic apoptotic signaling pathway,ribonucleoprotein granule
Interferon Signaling,NA,NA,NA,NA,NA,NA,NA,deoxyribonucleotide binding,nucleotide biosynthetic process,negative regulation of intrinsic apoptotic signaling pathway,cytoplasmic ribonucleoprotein granule
response to interferon-gamma,NA,NA,NA,NA,NA,NA,NA,adenyl deoxyribonucleotide binding,ATP metabolic process,core promoter sequence-specific DNA binding,negative regulation of mitotic cell cycle
cellular response to interferon-gamma,NA,NA,NA,NA,NA,NA,NA,purine deoxyribonucleotide binding,electron transport chain,RNA polymerase II core promoter sequence-specific DNA binding,negative regulation of mitotic cell cycle phase transition
integral component of endoplasmic reticulum membrane,NA,NA,NA,NA,NA,NA,NA,unfolded protein binding,inner mitochondrial membrane protein complex,negative regulation of phosphorylation,negative regulation of cell cycle phase transition
intrinsic component of endoplasmic reticulum membrane,NA,NA,NA,NA,NA,NA,NA,protein folding chaperone,mitochondrial protein-containing complex,intrinsic apoptotic signaling pathway,response to oxygen levels
integral component of organelle membrane,NA,NA,NA,NA,NA,NA,NA,dense fibrillar component,Parkinson's disease,regulation of apoptotic signaling pathway,response to hypoxia
intrinsic component of organelle membrane,NA,NA,NA,NA,NA,NA,NA,chaperone complex,The citric acid (TCA) cycle and respiratory electron transport,GTP binding,response to decreased oxygen levels
peptide binding,NA,NA,NA,NA,NA,NA,NA,zona pellucida receptor complex,Oxidative phosphorylation,nucleoside binding,RNA splicing
transport vesicle,NA,NA,NA,NA,NA,NA,NA,chaperonin-containing T-complex,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",guanyl ribonucleotide binding,"RNA splicing, via transesterification reactions"
coated vesicle membrane,NA,NA,NA,NA,NA,NA,NA,pyrimidine ribonucleotide binding,proton transmembrane transport,guanyl nucleotide binding,"mRNA splicing, via spliceosome"
coated vesicle,NA,NA,NA,NA,NA,NA,NA,Chaperonins,purine ribonucleotide biosynthetic process,purine nucleoside binding,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
late endosome,NA,NA,NA,NA,NA,NA,NA,vesicle lumen,ribonucleotide biosynthetic process,purine ribonucleoside binding,mRNA export from nucleus
late endosome membrane,NA,NA,NA,NA,NA,NA,NA,secretory granule lumen,ribose phosphate biosynthetic process,ribonucleoside binding,mRNA-containing ribonucleoprotein complex export from nucleus
vacuolar membrane,NA,NA,NA,NA,NA,NA,NA,cytoplasmic vesicle lumen,purine nucleotide biosynthetic process,small protein activating enzyme binding,nucleobase-containing compound transport
lysosomal membrane,NA,NA,NA,NA,NA,NA,NA,ficolin-1-rich granule,purine-containing compound biosynthetic process,anaphase-promoting complex-dependent catabolic process,establishment of RNA localization
lytic vacuole membrane,NA,NA,NA,NA,NA,NA,NA,ficolin-1-rich granule lumen,nucleoside triphosphate biosynthetic process,Regulation of mitotic cell cycle,RNA transport
TAP binding,NA,NA,NA,NA,NA,NA,NA,protein targeting to mitochondrion,nucleoside triphosphate metabolic process,APC/C-mediated degradation of cell cycle proteins,nucleic acid transport
